sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.5671862807487003e-08,0,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0836712496042713,1,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09991324500489518,2,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.11714719827405329,3,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.16193173841684283,4,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.16444424961164794,5,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15051217281993956,6,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15718999457895366,7,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1188463543006898,8,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1258925121619222,9,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.11254501881657553,10,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.10230616700204798,11,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09235744481119645,12,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.08463507165970363,13,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07552365857351262,14,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.06980648651456511,15,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.12175660771974384,16,2.181818182,6,6,0,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.5671862807487003e-08,0,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08737682156925475,1,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09881220206277863,2,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.13448672083356772,3,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.1884897940941681,4,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.19572367245027666,5,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.19621916167704234,6,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.20821929723208066,7,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15634052290241196,8,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15248855946499695,9,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.13247065324327345,10,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11667478853224666,11,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09650790156852096,12,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08136482576033566,13,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07167961127395717,14,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06945584918851955,15,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11652764975689178,16,2.0,6,7,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,1.5671862807487003e-08,0,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.06184997535221748,1,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.08101001494119853,2,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.09788183569132947,3,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.13781065439972617,4,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1562872171142985,5,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1441002964319439,6,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.162120429137377,7,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.12133654734155808,8,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.13322079794135933,9,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.12285933806760152,10,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.11626811971840012,11,2.818181818,7,6,1,1011781632,EleutherAI/pythia-1b,step143000,143000
