sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.2077113309416632e-08,0,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.092505408942817,1,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15642566156339344,2,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19863502390973198,3,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19654899293429995,4,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20292263783075604,5,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2046770314061176,6,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20163419510528546,7,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20097721646698885,8,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1843067303323639,9,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17796679778434865,10,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.13599154435818595,11,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.10816812632231787,12,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09718492268123435,13,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09203212900901092,14,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0792070683592635,15,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.07236484783481001,16,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05901189096368442,17,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.05483917607457167,18,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04703196401561527,19,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.038241943818661306,20,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03866739080498793,21,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03955034828096882,22,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04081295832035803,23,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09387651658390594,24,2.181818182,6,6,0,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.2077113309416632e-08,0,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0941369245268423,1,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.1343366150251284,2,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.1800210762847977,3,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.22598469857064873,4,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.24110324618431278,5,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.2450297223514447,6,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.24462234375472547,7,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.23425017024840944,8,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.2173756017615346,9,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.20552513814232598,10,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.16187051053544055,11,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.12720879319418343,12,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11222101787719041,13,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.10171470994332776,14,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.09053478292304529,15,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.08425614590041874,16,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07083780014848418,17,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.06591653720219992,18,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05821391241268259,19,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.048683558726809184,20,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.049545786934007574,21,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05070646165008785,22,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05221233433958872,23,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11722129409754445,24,2.0,6,7,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,1.2077113309416632e-08,0,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.07770054781128788,1,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.13702280172862102,2,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1642816125472456,3,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.15729152110697608,4,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1731666698984975,5,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.20420911020335974,6,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.22933215540978902,7,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.2280239834731278,8,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.21748733985352764,9,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.18522025085206062,10,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.14115266522884373,11,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.11191062135357965,12,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.09889862805601957,13,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.08681634554746365,14,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.07453535101984632,15,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.06603666704510158,16,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05353882904793206,17,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04899842522109166,18,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04192615731840077,19,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03396987715737598,20,2.818181818,7,6,1,1414647808,EleutherAI/pythia-1.4b,step143000,143000
